,EVENT.DATE,INJURY.SEVERITY,AIRCRAFT.DAMAGE,AIRCRAFT.CATEGORY,MODEL,NUMBER.OF.ENGINES,ENGINE.TYPE,FAR.DESCRIPTION,AIR.CARRIER,TOTAL.FATAL.INJURIES,TOTAL.SERIOUS.INJURIES,WEATHER.CONDITION,BROAD.PHASE.OF.FLIGHT
22,1982,Non-Fatal,Substantial,Helicopter,206L-1,1.0,Turbo Shaft,Part 135: Air Taxi & Commuter,"Rocky Mountain Helicopters, In",0.0,0.0,VMC,Approach
33,1982,Fatal(2),Destroyed,Airplane,PA-34-200T,2.0,Reciprocating,Part 135: Air Taxi & Commuter,Lang Air Service,2.0,0.0,VMC,Cruise
39,1982,Fatal(2),Destroyed,Airplane,PA-31,2.0,Reciprocating,Part 135: Air Taxi & Commuter,Empire Airlines,2.0,0.0,VMC,Approach
43,1982,Non-Fatal,Substantial,Airplane,TR182,1.0,Reciprocating,Part 135: Air Taxi & Commuter,Joel Frederick's Monarch Air,0.0,0.0,VMC,Taxi
44,1982,Non-Fatal,Substantial,Airplane,A185F,1.0,Reciprocating,Part 135: Air Taxi & Commuter,Executive Charter Service,0.0,2.0,VMC,Takeoff
51,1982,Fatal(2),Destroyed,Airplane,210,1.0,Reciprocating,Part 135: Air Taxi & Commuter,Robert R. Hylton,2.0,0.0,VMC,Cruise
74,1982,Non-Fatal,Substantial,Airplane,U206,1.0,Reciprocating,Part 135: Air Taxi & Commuter,Tri-city Air Service,0.0,0.0,VMC,Cruise
80,1982,Incident,Minor,Airplane,EMB-110P1,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,Aeromech Incorporated,0.0,0.0,VMC,Taxi
87,1982,Non-Fatal,Substantial,Airplane,PA-31-350,2.0,Reciprocating,Part 135: Air Taxi & Commuter,Richard Engstrom,0.0,0.0,IMC,Approach
93,1982,Non-Fatal,Substantial,Airplane,SA 226-TC,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,Pocono Airlines,0.0,1.0,VMC,Takeoff
95,1982,Non-Fatal,Substantial,Airplane,DHC-2-MK3,1.0,Turbo Prop,Part 135: Air Taxi & Commuter,"Sea Airmotive, Inc.",0.0,0.0,VMC,Landing
96,1982,Fatal(1),Destroyed,Helicopter,206L-1,1.0,Turbo Shaft,Part 135: Air Taxi & Commuter,Offshore Logistics,1.0,2.0,IMC,Cruise
101,1982,Non-Fatal,Destroyed,Airplane,440,2.0,Reciprocating,Part 135: Air Taxi & Commuter,Island Airlines Hawaii Inc.,0.0,0.0,VMC,Takeoff
129,1982,Non-Fatal,Substantial,Airplane,CL-44D4,4.0,Turbo Prop,Part 129: Foreign,"Acroservicios Eduatorianos, C",0.0,0.0,VMC,Landing
130,1982,Non-Fatal,Substantial,Airplane,PA-32,1.0,Reciprocating,Part 135: Air Taxi & Commuter,Dennis L Gunder,0.0,0.0,VMC,Takeoff
139,1982,Fatal(1),Destroyed,Airplane,402A,2.0,Reciprocating,Part 135: Air Taxi & Commuter,"Springdale Air Service, Inc.",1.0,0.0,IMC,Approach
145,1982,Non-Fatal,Destroyed,Airplane,207,1.0,Reciprocating,Part 135: Air Taxi & Commuter,Cook Inlet Aviation,0.0,0.0,VMC,Landing
155,1982,Fatal(2),Destroyed,Airplane,DC-10-30,3.0,Turbo Fan,Part 121: Air Carrier,"World Airways, Inc.",2.0,4.0,IMC,Landing
177,1982,Non-Fatal,Substantial,Helicopter,369D,1.0,Turbo Shaft,Part 135: Air Taxi & Commuter,Russell Lyon,0.0,0.0,VMC,Cruise
184,1982,Fatal(1),Destroyed,Airplane,28-151,1.0,Reciprocating,Part 135: Air Taxi & Commuter,James Williams,1.0,0.0,IMC,Cruise
204,1982,Non-Fatal,Substantial,Airplane,172P,1.0,Reciprocating,Part 135: Air Taxi & Commuter,"West Isle Air, Inc.",0.0,0.0,IMC,Landing
214,1982,Non-Fatal,Destroyed,Airplane,99,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,Pilgrim Airlines,0.0,5.0,IMC,Approach
222,1982,Non-Fatal,Substantial,Airplane,PA-32,1.0,Reciprocating,Part 135: Air Taxi & Commuter,Alpine Aviation,0.0,1.0,IMC,Cruise
223,1982,Fatal(1),Destroyed,Airplane,PA-23-250,2.0,Reciprocating,Part 135: Air Taxi & Commuter,"Air Ventures, Inc.",1.0,0.0,IMC,Approach
230,1982,Non-Fatal,Minor,Airplane,DC-10-10,3.0,Turbo Fan,Part 121: Air Carrier,United Airlines Inc.,0.0,1.0,IMC,Takeoff
239,1982,Fatal(4),Destroyed,Airplane,PA-32R-300,1.0,Reciprocating,Part 135: Air Taxi & Commuter,Air Security Transport Corpora,4.0,0.0,IMC,Cruise
283,1982,Non-Fatal,Substantial,Airplane,185,1.0,Reciprocating,Part 135: Air Taxi & Commuter,Wright Air Service,0.0,0.0,VMC,Taxi
320,1982,Incident,Minor,Airplane,B737-2H4,2.0,Turbo Jet,Part 121: Air Carrier,Aircal,0.0,0.0,IMC,Approach
332,1982,Non-Fatal,Substantial,Airplane,PA-31-310,2.0,Reciprocating,Part 135: Air Taxi & Commuter,Ira D. Farrington,0.0,0.0,VMC,Landing
336,1982,Non-Fatal,Substantial,Airplane,YS-11A,2.0,Turbo Prop,Part 121: Air Carrier,Reeve Aleutian,0.0,0.0,VMC,Approach
345,1982,Non-Fatal,Substantial,Airplane,PA-23,2.0,Reciprocating,Part 135: Air Taxi & Commuter,Four Lakes Aviation Corp,0.0,0.0,IMC,Approach
346,1982,Incident,Minor,Airplane,EMB-11OP1,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,"Cascade Airways, Inc.",0.0,0.0,VMC,Takeoff
361,1982,Non-Fatal,Substantial,Airplane,404,2.0,Reciprocating,Part 135: Air Taxi & Commuter,Priester Aviation Service,0.0,0.0,IMC,Landing
377,1982,Fatal(1),Destroyed,Airplane,DHC-6,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,Pilgrim Airlines,1.0,10.0,VMC,Cruise
396,1982,Non-Fatal,Substantial,Airplane,PA-60,2.0,Reciprocating,Part 135: Air Taxi & Commuter,Air Continental Incorporated,0.0,0.0,VMC,Takeoff
417,1982,Non-Fatal,Substantial,Airplane,D18S,2.0,Reciprocating,Part 135: Air Taxi & Commuter,Jim Billingsley,0.0,0.0,IMC,Approach
419,1982,Incident,Minor,Airplane,B90,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,Hanger One,0.0,0.0,IMC,Landing
463,1982,Fatal(2),Destroyed,Helicopter,206B,1.0,Turbo Shaft,Part 135: Air Taxi & Commuter,Air Logistics Inc.,2.0,0.0,VMC,Approach
469,1982,Non-Fatal,Substantial,Airplane,PA-32-300,1.0,Reciprocating,Part 135: Air Taxi & Commuter,Window Rock Airways,0.0,0.0,VMC,Landing
477,1982,Non-Fatal,Substantial,Airplane,600,2.0,Reciprocating,Part 135: Air Taxi & Commuter,Air Continental Inc.,0.0,0.0,VMC,Takeoff
508,1982,Non-Fatal,Destroyed,Airplane,PA-28R-180,1.0,Reciprocating,Part 135: Air Taxi & Commuter,Cal Air Charter,0.0,1.0,VMC,Climb
514,1982,Non-Fatal,Substantial,Airplane,PA-23 250,2.0,Reciprocating,Part 135: Air Taxi & Commuter,Northern Airmotive Inc,0.0,0.0,VMC,Approach
515,1982,Incident,Minor,Airplane,SA-266TC,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,"Britt Airways, Inc",0.0,0.0,UNK,Maneuvering
532,1982,Incident,Minor,Airplane,262A-12,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,"Ransome Airlines, Inc",0.0,0.0,IMC,Climb
539,1982,Non-Fatal,Substantial,Airplane,310,2.0,Reciprocating,Part 135: Air Taxi & Commuter,Courier Service Inc.,0.0,0.0,IMC,Taxi
552,1982,Non-Fatal,Substantial,Airplane,PA-32,1.0,Reciprocating,Part 135: Air Taxi & Commuter,Professional Pilots Inc.,0.0,0.0,IMC,Approach
587,1982,Non-Fatal,Substantial,Airplane,185,1.0,Reciprocating,Part 135: Air Taxi & Commuter,W.t. Ellis,0.0,0.0,VMC,Taxi
594,1982,Non-Fatal,Substantial,Helicopter,206B,1.0,Turbo Shaft,Part 135: Air Taxi & Commuter,"Luebell Helicopters, Inc",0.0,0.0,VMC,Approach
607,1982,Fatal(5),Destroyed,Airplane,401,2.0,Reciprocating,Part 135: Air Taxi & Commuter,Air Security Transport Corp.,5.0,2.0,IMC,Climb
648,1982,Non-Fatal,Destroyed,Helicopter,SA316B,1.0,Turbo Shaft,Part 135: Air Taxi & Commuter,Mammoth Heli-ski Tioyabe Corp.,0.0,4.0,VMC,Climb
677,1982,Incident,Minor,Airplane,65-88,2.0,Reciprocating,Part 135: Air Taxi & Commuter,Basler Airlines,0.0,0.0,VMC,Approach
693,1982,Non-Fatal,Substantial,Airplane,310Q,2.0,Reciprocating,Part 135: Air Taxi & Commuter,Comet Airways Incorporated,0.0,0.0,VMC,Landing
719,1982,Incident,Minor,Airplane,SA226TC,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,"Britt Airways, Inc.",0.0,0.0,VMC,Takeoff
760,1982,Incident,Minor,Airplane,402B,2.0,Reciprocating,Part 135: Air Taxi & Commuter,"Superior Air Service, Inc.",0.0,0.0,IMC,Approach
796,1982,Incident,Minor,Airplane,727-200,3.0,Turbo Fan,Part 121: Air Carrier,United Airlines,0.0,0.0,IMC,Landing
802,1982,Non-Fatal,Substantial,Airplane,206,1.0,Reciprocating,Part 135: Air Taxi & Commuter,Western Yukon Air,0.0,0.0,IMC,Cruise
813,1982,Fatal(3),Destroyed,Helicopter,369D,1.0,Turbo Shaft,Part 135: Air Taxi & Commuter,"Tundra Copters, Inc.",3.0,0.0,VMC,Cruise
